"","port_origin","voyage_id","ship_name","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","country","lat","lng"
"2077","Bahia","46962","Vencedora","Malembo","Bahia","1827",NA,"Rodrigues, Cosme José",NA,NA,NA
"2078","Bahia","50373","S Antônio e Almas","Calabar","Bahia","1710",NA,"Ávila, Manoel de",NA,NA,NA
"2079","Bahia","50374","NS da Abadia e Ajuda","Costa da Mina","Bahia","1710",NA,"Pimentel, Diogo",NA,NA,NA
"2080","Bahia","50377","S Helena e NS da Piedade","Costa da Mina","Bahia","1710",NA,"Madeira, João Fernandes",NA,NA,NA
"2081","Bahia","50378","S Isabel Rainha de Portugal e Almas","Calabar","Bahia","1710",NA,"Ávila, Manoel de",NA,NA,NA
"2082","Bahia","46966","Zeferina","Cabinda","Bahia","1827",NA,"Lima, José Manoel de",NA,NA,NA
"2083","Bahia","50380","NS do Pilar e Monserrat","Costa da Mina","Bahia","1710",NA,"Gonçalves, Paulo",NA,NA,NA
"2084","Bahia","50382","NS da Conceição e Almas","Costa da Mina","Bahia","1710",NA,"Costa, Jacinto da",NA,NA,NA
"2085","Bahia","50385","S João Batista",NA,NA,"1711",NA,"Lisboa, Manoel dos Santos",NA,NA,NA
"2086","Bahia","46977","Nova Virgem","Malembo","Bahia","1828",NA,"Silva, Manoel Simões da",NA,NA,NA
"2087","Bahia","50387","NS da Conceição S Antônio e Almas","Costa da Mina","Bahia","1711",NA,"Antunes, José",NA,NA,NA
"2088","Bahia","50389","Sr Bom Jesus de Bouças NS do Ó e S José","Costa da Mina","Bahia","1710",NA,"Martins, Antônio",NA,NA,NA
"2089","Bahia","50392","NS do Amparo S Antônio e Almas","Calabar","Bahia","1710",NA,"Freitas, Veríssimo de",NA,NA,NA
"2090","Bahia","50393","NS das Angústias e S José","Costa da Mina","Bahia","1711",NA,"Vieira, Dionísio Fagundes",NA,NA,NA
"2091","Bahia","50394","NS do Rosario e S Francisco do Monte","Costa da Mina","Bahia","1711",NA,"Dourado, Domingos Fernandes",NA,NA,NA
"2092","Bahia","50395","NS do Rosario S José e Santiago","Costa da Mina","Bahia","1711",NA,"Visa, João Gomes",NA,NA,NA
"2093","Bahia","50396","Bom Jesus e NS da Conceição","Costa da Mina","Bahia","1711",NA,"Caldas, Domingos Mendes",NA,NA,NA
"2094","Bahia","50397","S Isabel Rainha de Portugal e Almas","Cape Lahou","Bahia","1711",NA,"Ávila, Manoel de",NA,NA,NA
"2095","Bahia","50398","NS da Conceição e Almas","Costa da Mina","Bahia","1711",NA,"Fernandes, Pedro",NA,NA,NA
"2096","Bahia","50399","S Antônio e Almas","Costa da Mina","Bahia","1711",NA,"Rosa, Francisco Correa da",NA,NA,NA
"2097","Bahia","50400","Santíssimo Sacramento e NS da Luz","Costa da Mina","Bahia","1711",NA,"Lopes, Manoel Ferreira",NA,NA,NA
"2098","Bahia","50401","NS da Ajuda e S Francisco Xavier","Costa da Mina","Bahia","1711",NA,"Costa, Estevão da",NA,NA,NA
"2099","Bahia","50403","S João Almas NS do Pilar e Monserrat","Costa da Mina","Bahia","1711",NA,"Brochado, João Rodrigues",NA,NA,NA
"2100","Bahia","50404","NS do Rosario S Antônio e Almas","Costa da Mina","Bahia","1711",NA,"Ribeiro, Gaspar",NA,NA,NA
"2101","Bahia","50406","S João Batista","Costa da Mina","Bahia","1711",NA,"Lisboa, Manoel dos Santos",NA,NA,NA
"2102","Bahia","50407","NS da Guia e S Pedro da Guarda","Costa da Mina","Bahia","1712",NA,"Mesquita, João Dias de",NA,NA,NA
